,,,,
1,22,2,0,1
2,30,10,3,1
3,13,4,2,1
4,16,3,2,1
5,28,4,2,1
6,11,7,3,1
7,15,3,0,1
8,5,12,1,1
9,9,2,1,1
10,29,3,2,1
11,2,11,2,1
12,24,11,1,1
13,7,1,1,1
14,23,11,2,1
15,23,4,2,1
16,12,2,0,1
17,29,12,0,1
18,27,4,2,1
19,4,10,2,1
20,19,11,2,1
21,5,10,2,1
22,18,3,1,1
23,20,8,2,1
25,29,1,2,1
26,27,10,2,1
27,15,9,2,1
28,28,12,4,1
29,2,11,2,1
30,4,7,1,1
31,10,8,2,1
32,30,1,2,1
33,8,5,1,1
34,14,10,2,1
35,29,5,2,1
36,27,8,2,1
37,9,1,4,1
38,14,7,4,1
39,1,10,2,1
40,6,2,2,1
41,12,6,2,1
42,19,8,4,1
43,6,6,3,1
44,4,8,2,1
45,14,6,2,1
46,6,5,4,0
47,3,11,4,0
48,12,8,4,0
49,21,2,3,0
50,10,12,1,0
51,13,5,4,0
52,22,6,2,0
53,28,11,4,0
54,3,8,4,0
55,9,10,4,0
56,3,11,4,0
57,12,3,4,0
58,17,10,3,0
59,9,8,4,0
60,21,11,4,0
61,11,3,2,0
62,10,9,4,0
63,21,7,4,0
64,8,4,2,0
65,26,11,3,0
66,24,8,2,0
67,13,10,2,0
68,11,10,2,0
69,26,2,4,0
70,15,12,4,0
